SECAO_CNAE	CATEGORIA_NATUREZA_JURIDICA	PORTE	QTD_FILIAIS_ATIVAS	COMPETICAO_MERCADO_ESTADUAL	QTD_ABERTURAS_NACIONAL_5_ANOS	QTD_ABERTURAS_ESTADUAL_5_ANOS	QTD_ABERTURAS_GEORREFERENCIADO_5_ANOS	QTD_FECHAMENTOS_NACIONAL_5_ANOS	QTD_FECHAMENTOS_ESTADUAL_5_ANOS	QTD_FECHAMENTOS_GEORREFERENCIADO_5_ANOS	RAZAO_SITUACAO_MERCADO_NACIONAL_5_ANOS	RAZAO_SITUACAO_MERCADO_ESTADUAL_5_ANOS	RAZAO_SITUACAO_MERCADO_GEORREFERENCIADO_5_ANOS	TAXA_SOBREVIVENCIA_MERCADO_5_ANOS	TAXA_SOBREVIVENCIA_MERCADO_10_ANOS	PORTE_FATURAMENTO_PRESUMIDO	QTD_COLABORADORES	CONCENTRACAO_SOCIETARIA	RISCO_LIDERANCA	QTD_RECLAMACOES_TOTAL	QTD_RECLAMACOES_NAO_ATENDIDAS_TOTAL	QTD_PROCESSOS_JUDICIAIS_REQUERIDO	QTD_PROCESSOS_JUDICIAIS_REQUERENTE	CONCENTRACAO_ACADEMIAS	CONCENTRACAO_AEROPORTOS	CONCENTRACAO_ALUGUEL_CARROS	CONCENTRACAO_AREA_RISCO	CONCENTRACAO_BANCOS	CONCENTRACAO_BARES	CONCENTRACAO_BEBIDAS	CONCENTRACAO_BOMBEIRO	CONCENTRACAO_CAIXA_ELETRONICO	CONCENTRACAO_CASA_NOTURNA	CONCENTRACAO_CEMITERIO	CONCENTRACAO_CINEMAS	CONCENTRACAO_CONCESSIONARIA	CONCENTRACAO_CORREIOS	CONCENTRACAO_CORRETOR_SEGUROS	CONCENTRACAO_ESCOLAS	CONCENTRACAO_ESTACAO_ONIBUS	CONCENTRACAO_ESTACIONAMENTOS	CONCENTRACAO_AGLOMERADO_SUBNORMAL	CONCENTRACAO_FUNERARIA	CONCENTRACAO_HOSPITAL	CONCENTRACAO_HOTEL	CONCENTRACAO_IGREJA	CONCENTRACAO_LAVA_RAPIDO	CONCENTRACAO_METRO	CONCENTRACAO_OFICINAS	CONCENTRACAO_PARQUE	CONCENTRACAO_PARQUES_DIVERSAO	CONCENTRACAO_POLICIA	CONCENTRACAO_PONTO_TAXI	CONCENTRACAO_POSTO_GASOLINA	CONCENTRACAO_PREFEITURA	CONCENTRACAO_SHOPPING	CONCENTRACAO_SUPERMERCADO	CONCENTRACAO_TREM	CONCENTRACAO_UNIVERSIDADE	DISTANCIA_ALUGUEL_CARROS	DISTANCIA_BANCO	DISTANCIA_CONCESSIONARIA	DISTANCIA_CORRETOR_SEGUROS	DISTANCIA_ACADEMIAS	DISTANCIA_AEROPORTOS	DISTANCIA_BARES	DISTANCIA_LOJA_BEBIDAS	DISTANCIA_BOMBEIRO	DISTANCIA_CAIXA_ELETRONICO	DISTANCIA_CASA_NOTURNA	DISTANCIA_CEMITERIO	DISTANCIA_CINEMAS	DISTANCIA_CORREIOS	DISTANCIA_ESCOLAS	DISTANCIA_ESTACAO_ONIBUS	DISTANCIA_AGLOMERADO_SUBNORMAL	DISTANCIA_FRONTEIRA_ESTADUAL	DISTANCIA_FRONTEIRA_INTERNACIONAL	DISTANCIA_FRONTEIRA_MARITIMA	DISTANCIA_FUNERARIA	DISTANCIA_HOSPITAL	DISTANCIA_HOTEL	DISTANCIA_IGREJA	DISTANCIA_LAVA_RAPIDO	DISTANCIA_METRO	DISTANCIA_OFICINAS	DISTANCIA_PARQUE	DISTANCIA_PARQUES_DIVERSAO	DISTANCIA_POLICIA	DISTANCIA_POSTO_GASOLINA	DISTANCIA_PREFEITURA	DISTANCIA_SHOPPING	DISTANCIA_SUPERMERCADO	DISTANCIA_TREM	DISTANCIA_ESTACIONAMENTOS	DISTANCIA_PONTO_TAXI	DISTANCIA_UNIVERSIDADE	DISTANCIA_AREA_RISCO	CNPJ	ANO_MES	ALVO_CASCO
G	LTDA	PEQUENA	5	5661	19949	1404	24	64085	4882	182	0.311289693375985	0.28758705448586647	0.13186813186813187	0.12108262108262108	0.22546201232032853	F	65	2	0	0	0	0	0	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXA	BAIXISSIMA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	BAIXISSIMA	MEDIA	BAIXISSIMA	MEDIA	BAIXISSIMA	MEDIA	MEDIA	BAIXISSIMA	BAIXISSIMA	LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO PROXIMO	MUITO LONGE	LONGE	MUITO LONGE	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	PROXIMO	MUITO LONGE	PROXIMO	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO LONGE	LONGE	LONGE	MUITO LONGE	MUITO LONGE	MUITO LONGE	154618823419	202308	1.0
G	LTDA	MICRO	1	559	5063	275	97	7412	307	67	0.6830814894765246	0.8957654723127035	1.4477611940298507	0.13454545454545455	0.26582278481012656		0	3	0	0	0	0	0	ALTA	ALTA	MEDIA	ALTA	ALTA	ALTA	ALTA	MEDIA	ALTA	ALTA	MEDIA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	ALTA	ALTA	MEDIA	MEDIA	BAIXISSIMA	ALTA	MEDIA	BAIXISSIMA	ALTA	BAIXISSIMA	ALTA	MEDIA	ALTA	ALTA	BAIXISSIMA	ALTA	LONGE	MEDIO	MUITO PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	LONGE	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	PROXIMO	LONGE	MEDIO	MUITO LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	LONGE	MEDIO	MEDIO	MUITO LONGE	MEDIO	LONGE	PROXIMO	MEDIO	17179873443	202307	1.0
G	LTDA	MEDIA	4	2127	118617	1336	667	175177	1887	1023	0.6771265634187137	0.7080021197668257	0.6520039100684262	0.2619760479041916	0.4110787172011662	C	4	4	1	0	0	3	3	ALTISSIMA	ALTA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	LONGE	LONGE	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	LONGE	PROXIMO	PROXIMO	MUITO LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	LONGE	LONGE	77309412440	202105	1.0
F	LTDA	PEQUENA	1	1436	14486	906	56	10350	549	48	1.3996135265700482	1.650273224043716	1.1666666666666667	0.16997792494481237	0.2800763844684914	D	9	2	0	0	0	0	0	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	BAIXISSIMA	ALTISSIMA	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	PROXIMO	MEDIO	LONGE	LONGE	MUITO LONGE	MUITO LONGE	PROXIMO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MUITO LONGE	PROXIMO	PROXIMO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	487	202005	1.0
G	LTDA	PEQUENA	1	67939	132015	33241	277	190517	56582	500	0.6929302896854349	0.5874836520448199	0.554	0.23073914743840437	0.36019088937093274		0	1	0	0	0	0	0	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	MEDIA	ALTA	MEDIA	ALTISSIMA	ALTISSIMA	PROXIMO	MEDIO	MEDIO	PROXIMO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	MUITO LONGE	PROXIMO	PROXIMO	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	PROXIMO	PROXIMO	PROXIMO	PROXIMO	MUITO PROXIMO	94489284578	202208	1.0
C	LTDA	GRANDE	5	890	4654	507	2	4155	321	1	1.1200962695547534	1.5794392523364487	2.0	0.15976331360946747	0.25559947299077734	J	487			0	0	15	34	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	MEDIA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTISSIMA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	PROXIMO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	PROXIMO	MEDIO	PROXIMO	MEDIO	MEDIO	MEDIO	PROXIMO	MEDIO	LONGE	MEDIO	MEDIO	LONGE	MUITO LONGE	PROXIMO	LONGE	PROXIMO	MEDIO	LONGE	PROXIMO	PROXIMO	LONGE	PROXIMO	PROXIMO	PROXIMO	MEDIO	LONGE	LONGE	LONGE	PROXIMO	MEDIO	PROXIMO	MEDIO	MUITO PROXIMO	103079215142	202011	1.0
C	LTDA	MEDIA	3	142	93	32	2	95	34	1	0.9789473684210527	0.9411764705882353	2.0	0.09375	0.22641509433962265	H	74	3	0	0	0	2	3	ALTA	ALTISSIMA	ALTA	ALTA	MEDIA	MEDIA	ALTISSIMA	MEDIA	ALTA	MEDIA	ALTA	ALTA	MEDIA	MEDIA	ALTA	MEDIA	BAIXISSIMA	ALTA	BAIXISSIMA	ALTA	ALTA	MEDIA	MEDIA	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTA	MEDIA	BAIXISSIMA	MEDIA	MEDIO	MEDIO	PROXIMO	MEDIO	MEDIO	PROXIMO	PROXIMO	PROXIMO	MEDIO	MEDIO	PROXIMO	LONGE	MEDIO	LONGE	MEDIO	LONGE	LONGE	MUITO LONGE	MUITO LONGE	LONGE	MUITO PROXIMO	PROXIMO	LONGE	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	PROXIMO	LONGE	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	MEDIO	PROXIMO	LONGE	MUITO PROXIMO	17179871335	202305	1.0
J	OUTRAS_ENTIDADES_EMPRESARIAIS	GRANDE	18	3429	11131	2026	30	3285	736	9	3.3884322678843226	2.7527173913043477	3.3333333333333335	0.08835143139190524	0.1380809093948512	J	243	2	0	7	6	189	153	MEDIA	ALTISSIMA	ALTISSIMA	ALTA	ALTA	MEDIA	ALTISSIMA	ALTA	ALTA	MEDIA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTA	MEDIA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	MEDIA	MEDIA	MEDIA	BAIXISSIMA	MEDIA	ALTA	ALTA	ALTA	ALTA	MEDIA	ALTA	ALTA	MEDIA	ALTISSIMA	ALTISSIMA	MEDIO	MEDIO	MEDIO	MEDIO	LONGE	PROXIMO	LONGE	MEDIO	LONGE	MEDIO	LONGE	LONGE	PROXIMO	PROXIMO	LONGE	MEDIO	MEDIO	LONGE	MUITO LONGE	MEDIO	MEDIO	LONGE	LONGE	MEDIO	LONGE	MEDIO	LONGE	LONGE	PROXIMO	MEDIO	LONGE	LONGE	MEDIO	LONGE	PROXIMO	PROXIMO	MEDIO	PROXIMO	LONGE	120259084362	202012	1.0
C	LTDA	GRANDE	50	36247	128686	31886	204	69518	14345	80	1.8511176961362525	2.222795399093761	2.55	0.2008404942608041	0.2893585348249729	J	2069	2	0	2	1	382	386	ALTA	ALTISSIMA	ALTISSIMA	ALTA	MEDIA	MEDIA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	MEDIA	MEDIA	ALTISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	MEDIA	ALTA	BAIXISSIMA	MEDIA	ALTA	ALTISSIMA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTA	MEDIA	BAIXISSIMA	ALTISSIMA	PROXIMO	MEDIO	LONGE	LONGE	LONGE	MEDIO	LONGE	MEDIO	LONGE	PROXIMO	LONGE	PROXIMO	MEDIO	MEDIO	LONGE	MEDIO	MUITO PROXIMO	LONGE	MUITO LONGE	MEDIO	PROXIMO	LONGE	MEDIO	MEDIO	PROXIMO	PROXIMO	LONGE	LONGE	MEDIO	MEDIO	LONGE	LONGE	MEDIO	LONGE	MEDIO	MEDIO	MEDIO	LONGE	MEDIO	94489281020	202007	1.0
G	MEI	MICRO	1	1296	55502	781	85	41932	610	56	1.323619192979109	1.280327868852459	1.5178571428571428	0.16901408450704225	0.3262773722627737	A	1	1	1	0	0	0	0	ALTA	BAIXISSIMA	MEDIA	BAIXISSIMA	ALTA	ALTISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	BAIXISSIMA	MEDIA	BAIXISSIMA	ALTA	ALTISSIMA	ALTISSIMA	MEDIA	ALTA	ALTA	ALTA	ALTA	ALTISSIMA	ALTA	BAIXISSIMA	ALTA	ALTA	ALTA	ALTA	ALTA	ALTA	MEDIA	MEDIA	ALTISSIMA	BAIXISSIMA	ALTA	LONGE	LONGE	MEDIO	LONGE	PROXIMO	LONGE	MEDIO	MEDIO	LONGE	MEDIO	LONGE	LONGE	LONGE	MUITO LONGE	MEDIO	MUITO PROXIMO	MEDIO	MUITO LONGE	PROXIMO	MUITO LONGE	LONGE	PROXIMO	MEDIO	MEDIO	MEDIO	MUITO LONGE	MEDIO	LONGE	MEDIO	MEDIO	LONGE	LONGE	LONGE	MEDIO	LONGE	LONGE	LONGE	LONGE	LONGE	137438956317	202007	1.0
